Transaction ID,Bank,Year,Amount Involved,Fraudulent,Time,Category,Day,Frequency
TXN00291,Axis Bank Limited,2022-23,5.47,1,00:00-04:00,Small,Weekday,Medium
TXN00253,ICICI Bank Limited,2023-24,17.506972824298515,1,20:00-00:00,Medium,Weekday,High
TXN00361,Jammu and Kashmir Bank Limited,2021-22,9.12,0,16:00-20:00,Small,Weekday,Low
TXN00055,CSB Bank Limited,2023-24,5.682085145094443,1,04:00-08:00,Small,Weekday,High
TXN00443,Axis Bank Limited,2021-22,5.547239256749883,1,04:00-08:00,Small,Weekend,High
TXN00023,Jammu and Kashmir Bank Limited,2023-24,11.35867475501321,1,00:00-04:00,Medium,Weekend,Medium
TXN00080,Karnataka Bank Limited,2023-24,19.86,1,20:00-00:00,Medium,Weekend,Medium
TXN00164,Tamilnad Mercantile Bank Limited,2023-24,15.92,0,16:00-20:00,Medium,Weekday,Medium
TXN00040,CSB Bank Limited,2021-22,12.44,0,16:00-20:00,Medium,Weekday,Low
TXN00286,ICICI Bank Limited,2023-24,12.45,1,20:00-00:00,Medium,Weekday,Medium
TXN00040,CSB Bank Limited,2021-22,12.44,0,08:00-12:00,Medium,Weekend,Low
TXN00247,The Dhanalakshmi Bank Limited,2021-22,10.04,1,00:00-04:00,Medium,Weekday,High
TXN00364,HDFC Bank Limited,2022-23,31.39583747371797,1,04:00-08:00,Medium,Weekday,High
TXN00361,Jammu and Kashmir Bank Limited,2021-22,9.12,0,16:00-20:00,Small,Weekday,High
TXN00489,RBL Bank Limited,2021-22,7.53,0,08:00-12:00,Small,Weekday,Low
TXN00048,HDFC Bank Limited,2022-23,4.13,0,12:00-16:00,Small,Weekend,Medium
TXN00002,The Dhanalakshmi Bank Limited,2023-24,19.78,0,16:00-20:00,Medium,Weekday,Low
TXN00415,Axis Bank Limited,2022-23,14.31,1,00:00-04:00,Medium,Weekday,High
TXN00002,The Dhanalakshmi Bank Limited,2023-24,19.78,0,08:00-12:00,Medium,Weekend,Medium
TXN00259,Karur Vysya Bank Limited,2021-22,13.602233430403372,1,04:00-08:00,Medium,Weekday,Low
TXN00002,The Dhanalakshmi Bank Limited,2023-24,19.78,0,16:00-20:00,Medium,Weekday,Medium
TXN00230,The Dhanalakshmi Bank Limited,2022-23,2.1,0,16:00-20:00,Small,Weekday,Medium
TXN00083,Karnataka Bank Limited,2021-22,23.74,0,08:00-12:00,Medium,Weekday,Low
TXN00427,CSB Bank Limited,2023-24,15.75,0,16:00-20:00,Medium,Weekday,Medium
TXN00107,Nainital Bank Limited,2022-23,10.68486837477559,1,04:00-08:00,Medium,Weekday,High
TXN00461,IDBI Bank Limited,2022-23,27.61,0,08:00-12:00,Medium,Weekday,Low
TXN00132,CSB Bank Limited,2023-24,14.69,1,04:00-08:00,Medium,Weekend,Medium
TXN00471,IDFC First Bank Limited,2021-22,6.66,0,12:00-16:00,Small,Weekend,Medium
TXN00279,Jammu and Kashmir Bank Limited,2023-24,5.62,0,12:00-16:00,Small,Weekday,Low
TXN00439,IndusInd Bank Limited,2022-23,10.8,1,00:00-04:00,Medium,Weekday,Low
TXN00264,IDBI Bank Limited,2022-23,51.46,0,12:00-16:00,Large,Weekend,Low
TXN00424,Axis Bank Limited,2021-22,6.66,0,08:00-12:00,Small,Weekend,Medium
TXN00242,Nainital Bank Limited,2022-23,5.356023577231519,1,04:00-08:00,Small,Weekend,High
TXN00376,IDFC First Bank Limited,2023-24,24.05,1,04:00-08:00,Medium,Weekend,High
TXN00088,Jammu and Kashmir Bank Limited,2021-22,14.38,0,08:00-12:00,Medium,Weekday,Medium
TXN00335,Karnataka Bank Limited,2021-22,15.639990432368181,1,20:00-00:00,Medium,Weekday,High
TXN00422,IDFC First Bank Limited,2022-23,4.87,1,20:00-00:00,Small,Weekend,High
TXN00048,HDFC Bank Limited,2022-23,4.13,0,12:00-16:00,Small,Weekday,Low
TXN00079,Yes Bank Limited,2023-24,16.51,1,04:00-08:00,Medium,Weekday,High
TXN00413,HDFC Bank Limited,2022-23,84.11805385282132,1,20:00-00:00,Large,Weekend,High
TXN00313,Axis Bank Limited,2021-22,7.23,0,08:00-12:00,Small,Weekday,Medium
TXN00002,The Dhanalakshmi Bank Limited,2023-24,19.78,0,16:00-20:00,Medium,Weekday,Medium
TXN00293,Nainital Bank Limited,2022-23,51.32,0,08:00-12:00,Large,Weekday,Low
TXN00022,Jammu and Kashmir Bank Limited,2023-24,10.52,0,16:00-20:00,Medium,Weekend,Medium
TXN00221,ICICI Bank Limited,2023-24,31.69,0,08:00-12:00,Medium,Weekday,Low
TXN00371,ICICI Bank Limited,2023-24,28.751505826776416,1,00:00-04:00,Medium,Weekday,Medium
TXN00327,Axis Bank Limited,2022-23,9.92,1,20:00-00:00,Small,Weekend,High
TXN00466,Karnataka Bank Limited,2021-22,24.11,0,08:00-12:00,Medium,Weekday,Low
TXN00365,CSB Bank Limited,2023-24,8.38,0,16:00-20:00,Small,Weekday,Low
TXN00008,Tamilnad Mercantile Bank Limited,2022-23,11.28,0,12:00-16:00,Medium,Weekday,High
TXN00245,The Dhanalakshmi Bank Limited,2022-23,11.75,1,00:00-04:00,Medium,Weekday,High
TXN00345,Jammu and Kashmir Bank Limited,2021-22,39.7,1,20:00-00:00,Medium,Weekend,High
TXN00471,IDFC First Bank Limited,2021-22,6.66,0,16:00-20:00,Small,Weekday,High
TXN00203,Axis Bank Limited,2023-24,4.1,0,12:00-16:00,Small,Weekday,Medium
TXN00270,Yes Bank Limited,2023-24,7.495709161289558,1,00:00-04:00,Small,Weekday,High
TXN00176,City Union Bank Limited,2021-22,31.52,0,08:00-12:00,Medium,Weekday,Medium
TXN00022,Jammu and Kashmir Bank Limited,2023-24,10.52,0,12:00-16:00,Medium,Weekday,Low
TXN00276,RBL Bank Limited,2022-23,22.38,0,16:00-20:00,Medium,Weekend,Medium
TXN00316,IDFC First Bank Limited,2023-24,16.209298979480938,1,04:00-08:00,Medium,Weekend,Medium
TXN00392,Yes Bank Limited,2021-22,10.7275449228312,1,20:00-00:00,Medium,Weekday,Medium
TXN00495,CSB Bank Limited,2022-23,14.57,1,20:00-00:00,Medium,Weekend,High
TXN00230,The Dhanalakshmi Bank Limited,2022-23,2.1,0,16:00-20:00,Small,Weekday,Low
TXN00277,Axis Bank Limited,2022-23,22.84,1,04:00-08:00,Medium,Weekday,Medium
TXN00408,DCB Bank Limited,2022-23,15.4892568373205,1,20:00-00:00,Medium,Weekday,High
TXN00198,Bandhan Bank Limited,2022-23,8.026243507595177,1,20:00-00:00,Small,Weekday,High
TXN00298,RBL Bank Limited,2023-24,25.53,1,04:00-08:00,Medium,Weekday,Medium
TXN00041,Karur Vysya Bank Limited,2023-24,17.075674183122814,1,04:00-08:00,Medium,Weekday,High
TXN00074,Yes Bank Limited,2023-24,9.638027302075985,1,04:00-08:00,Small,Weekday,High
TXN00262,City Union Bank Limited,2023-24,35.60839517084276,1,04:00-08:00,Medium,Weekday,High
TXN00072,Karur Vysya Bank Limited,2023-24,3.47,0,12:00-16:00,Small,Weekday,Medium
TXN00008,Tamilnad Mercantile Bank Limited,2022-23,11.28,0,08:00-12:00,Medium,Weekday,Low
TXN00279,Jammu and Kashmir Bank Limited,2023-24,5.62,0,08:00-12:00,Small,Weekday,High
TXN00061,IDFC First Bank Limited,2021-22,33.324780587310556,1,00:00-04:00,Medium,Weekend,High
TXN00438,Tamilnad Mercantile Bank Limited,2023-24,36.62,1,20:00-00:00,Medium,Weekend,Medium
TXN00072,Karur Vysya Bank Limited,2023-24,3.47,0,12:00-16:00,Small,Weekend,Low
TXN00078,Kotak Mahindra Bank Limited,2021-22,4.260581574522614,1,04:00-08:00,Small,Weekday,Medium
TXN00406,Karur Vysya Bank Limited,2022-23,56.33,1,00:00-04:00,Large,Weekday,High
TXN00033,DCB Bank Limited,2022-23,14.95,0,16:00-20:00,Medium,Weekday,Medium
TXN00476,City Union Bank Limited,2021-22,5.04,0,08:00-12:00,Small,Weekday,Low
TXN00033,DCB Bank Limited,2022-23,14.95,0,16:00-20:00,Medium,Weekday,Medium
TXN00482,DCB Bank Limited,2023-24,25.86,0,08:00-12:00,Medium,Weekend,Low
TXN00441,Jammu and Kashmir Bank Limited,2021-22,10.505732023502068,1,04:00-08:00,Medium,Weekend,Medium
TXN00450,Jammu and Kashmir Bank Limited,2021-22,4.23,1,00:00-04:00,Small,Weekend,Medium
TXN00427,CSB Bank Limited,2023-24,15.75,0,08:00-12:00,Medium,Weekend,High
TXN00292,DCB Bank Limited,2021-22,9.42650507536891,1,04:00-08:00,Small,Weekday,High
TXN00363,DCB Bank Limited,2021-22,4.4962759979546005,1,20:00-00:00,Small,Weekend,High
TXN00002,The Dhanalakshmi Bank Limited,2023-24,19.78,0,16:00-20:00,Medium,Weekday,Low
TXN00420,Bandhan Bank Limited,2022-23,4.88,1,00:00-04:00,Small,Weekday,Medium
TXN00203,Axis Bank Limited,2023-24,4.1,0,16:00-20:00,Small,Weekday,Low
TXN00230,The Dhanalakshmi Bank Limited,2022-23,2.1,0,16:00-20:00,Small,Weekday,Medium
TXN00440,DCB Bank Limited,2022-23,12.646865152758368,1,04:00-08:00,Medium,Weekday,Medium
TXN00242,Nainital Bank Limited,2022-23,4.756647242532866,1,20:00-00:00,Small,Weekday,Medium
TXN00025,IDFC First Bank Limited,2021-22,7.978511987225718,1,20:00-00:00,Small,Weekday,High
TXN00116,Kotak Mahindra Bank Limited,2022-23,28.57,0,16:00-20:00,Medium,Weekday,Medium
TXN00276,RBL Bank Limited,2022-23,22.38,0,12:00-16:00,Medium,Weekday,Low
TXN00482,DCB Bank Limited,2023-24,25.86,0,12:00-16:00,Medium,Weekday,Medium
TXN00451,Karur Vysya Bank Limited,2023-24,45.31,0,12:00-16:00,Medium,Weekend,High
TXN00002,The Dhanalakshmi Bank Limited,2023-24,19.78,0,08:00-12:00,Medium,Weekday,Low
TXN00048,HDFC Bank Limited,2022-23,4.13,0,16:00-20:00,Small,Weekday,Medium
TXN00354,Federal Bank Limited,2023-24,31.13,1,20:00-00:00,Medium,Weekday,High
TXN00120,DCB Bank Limited,2023-24,9.11,0,12:00-16:00,Small,Weekend,Low
TXN00496,Jammu and Kashmir Bank Limited,2023-24,36.722202120800695,1,20:00-00:00,Medium,Weekday,High
TXN00424,Axis Bank Limited,2021-22,6.66,0,08:00-12:00,Small,Weekend,High
TXN00273,ICICI Bank Limited,2021-22,7.77827742629729,1,20:00-00:00,Small,Weekday,Medium
TXN00366,Federal Bank Limited,2021-22,17.02922528123891,1,04:00-08:00,Medium,Weekday,High
TXN00120,DCB Bank Limited,2023-24,9.11,0,08:00-12:00,Small,Weekday,Low
TXN00270,Yes Bank Limited,2023-24,7.23,1,00:00-04:00,Small,Weekend,Low
TXN00143,IDFC First Bank Limited,2022-23,15.35,1,00:00-04:00,Medium,Weekday,High
TXN00365,CSB Bank Limited,2023-24,8.38,0,08:00-12:00,Small,Weekday,Medium
TXN00265,CSB Bank Limited,2022-23,10.911923270400608,1,04:00-08:00,Medium,Weekday,High
TXN00098,IDFC First Bank Limited,2023-24,8.058192930125662,1,20:00-00:00,Small,Weekend,Medium
TXN00403,DCB Bank Limited,2021-22,19.89,0,16:00-20:00,Medium,Weekday,Low
TXN00356,IndusInd Bank Limited,2022-23,9.06,1,04:00-08:00,Small,Weekday,High
TXN00160,ICICI Bank Limited,2022-23,51.25,1,04:00-08:00,Large,Weekday,High
TXN00448,Jammu and Kashmir Bank Limited,2022-23,2.1377089310008666,1,04:00-08:00,Small,Weekend,High
TXN00403,DCB Bank Limited,2021-22,19.89,0,12:00-16:00,Medium,Weekend,Medium
TXN00298,RBL Bank Limited,2023-24,24.898122763146688,1,20:00-00:00,Medium,Weekday,Low
TXN00338,Karnataka Bank Limited,2022-23,8.44,0,16:00-20:00,Small,Weekday,Low
TXN00093,ICICI Bank Limited,2022-23,11.759155701734192,1,20:00-00:00,Medium,Weekend,High
TXN00269,Karur Vysya Bank Limited,2023-24,23.79845419784585,1,00:00-04:00,Medium,Weekend,High
TXN00129,HDFC Bank Limited,2022-23,5.46,1,04:00-08:00,Small,Weekday,High
TXN00445,ICICI Bank Limited,2021-22,43.62,0,16:00-20:00,Medium,Weekday,Low
TXN00149,The Dhanalakshmi Bank Limited,2023-24,7.32,0,12:00-16:00,Small,Weekday,Low
TXN00287,Bandhan Bank Limited,2021-22,14.39,0,16:00-20:00,Medium,Weekend,Medium
TXN00293,Nainital Bank Limited,2022-23,51.32,0,12:00-16:00,Large,Weekend,Medium
TXN00033,DCB Bank Limited,2022-23,14.95,0,12:00-16:00,Medium,Weekday,Low
TXN00246,Axis Bank Limited,2021-22,14.8,1,00:00-04:00,Medium,Weekday,Medium
TXN00365,CSB Bank Limited,2023-24,8.38,0,08:00-12:00,Small,Weekday,Medium
TXN00314,City Union Bank Limited,2023-24,8.27,0,08:00-12:00,Small,Weekday,Medium
TXN00260,South Indian Bank Limited,2021-22,21.39270582984655,1,20:00-00:00,Medium,Weekday,Medium
TXN00008,Tamilnad Mercantile Bank Limited,2022-23,11.28,0,08:00-12:00,Medium,Weekday,Low
TXN00002,The Dhanalakshmi Bank Limited,2023-24,19.78,0,16:00-20:00,Medium,Weekday,Medium
TXN00473,IDBI Bank Limited,2021-22,3.14,1,20:00-00:00,Small,Weekend,Medium
TXN00121,Karur Vysya Bank Limited,2023-24,8.53,0,16:00-20:00,Small,Weekend,Medium
TXN00191,Federal Bank Limited,2021-22,33.27239660338323,1,04:00-08:00,Medium,Weekend,Medium
TXN00451,Karur Vysya Bank Limited,2023-24,45.31,0,16:00-20:00,Medium,Weekday,Medium
TXN00206,Nainital Bank Limited,2023-24,68.25685816022772,1,00:00-04:00,Large,Weekday,Medium
TXN00120,DCB Bank Limited,2023-24,9.11,0,08:00-12:00,Small,Weekend,Medium
TXN00361,Jammu and Kashmir Bank Limited,2021-22,9.12,0,16:00-20:00,Small,Weekday,Low
TXN00189,Yes Bank Limited,2021-22,30.072947353289,1,20:00-00:00,Medium,Weekday,Medium
TXN00279,Jammu and Kashmir Bank Limited,2023-24,5.62,0,08:00-12:00,Small,Weekday,Low
TXN00072,Karur Vysya Bank Limited,2023-24,3.47,0,12:00-16:00,Small,Weekday,Medium
TXN00418,DCB Bank Limited,2022-23,32.78416680264489,1,04:00-08:00,Medium,Weekday,High
TXN00300,Karur Vysya Bank Limited,2023-24,7.753645387626302,1,04:00-08:00,Small,Weekday,High
TXN00167,Kotak Mahindra Bank Limited,2021-22,10.57,0,16:00-20:00,Medium,Weekday,Low
TXN00116,Kotak Mahindra Bank Limited,2022-23,28.57,0,12:00-16:00,Medium,Weekday,Low
TXN00114,City Union Bank Limited,2023-24,24.82,0,12:00-16:00,Medium,Weekday,Low
TXN00355,Kotak Mahindra Bank Limited,2021-22,18.82,0,08:00-12:00,Medium,Weekend,Low
TXN00109,City Union Bank Limited,2023-24,39.73525628981866,1,20:00-00:00,Medium,Weekday,High
TXN00316,IDFC First Bank Limited,2023-24,17.1,1,04:00-08:00,Medium,Weekend,High
TXN00330,Nainital Bank Limited,2022-23,20.45,0,16:00-20:00,Medium,Weekday,Low
TXN00268,Axis Bank Limited,2022-23,7.07,1,04:00-08:00,Small,Weekend,High
TXN00056,South Indian Bank Limited,2022-23,21.33,1,20:00-00:00,Medium,Weekend,Low
TXN00364,HDFC Bank Limited,2022-23,33.26633863846267,1,00:00-04:00,Medium,Weekend,High
TXN00301,Yes Bank Limited,2023-24,21.3,0,16:00-20:00,Medium,Weekday,Medium
TXN00066,IDFC First Bank Limited,2023-24,50.83395072253793,1,04:00-08:00,Large,Weekday,High
TXN00214,HDFC Bank Limited,2022-23,15.058354783966676,1,04:00-08:00,Medium,Weekend,High
TXN00147,Jammu and Kashmir Bank Limited,2021-22,7.4,0,16:00-20:00,Small,Weekend,Low
TXN00403,DCB Bank Limited,2021-22,19.89,0,16:00-20:00,Medium,Weekday,Low
TXN00220,South Indian Bank Limited,2021-22,7.529381162207303,1,04:00-08:00,Small,Weekday,Medium
TXN00202,Nainital Bank Limited,2023-24,12.64,1,20:00-00:00,Medium,Weekday,High
TXN00405,RBL Bank Limited,2023-24,7.233349360800101,1,20:00-00:00,Small,Weekday,High
TXN00477,Nainital Bank Limited,2023-24,14.07,1,00:00-04:00,Medium,Weekday,High
TXN00274,HDFC Bank Limited,2023-24,1.75,1,20:00-00:00,Small,Weekday,Medium
TXN00287,Bandhan Bank Limited,2021-22,14.39,0,12:00-16:00,Medium,Weekday,Low
TXN00355,Kotak Mahindra Bank Limited,2021-22,18.82,0,08:00-12:00,Medium,Weekday,Low
TXN00476,City Union Bank Limited,2021-22,5.04,0,16:00-20:00,Small,Weekday,Medium
TXN00027,Kotak Mahindra Bank Limited,2021-22,14.25,1,00:00-04:00,Medium,Weekday,Medium
TXN00222,Axis Bank Limited,2023-24,3.6,0,12:00-16:00,Small,Weekday,Medium
TXN00073,ICICI Bank Limited,2022-23,6.81,1,20:00-00:00,Small,Weekday,High
TXN00336,HDFC Bank Limited,2023-24,28.15,1,04:00-08:00,Medium,Weekday,High
TXN00219,HDFC Bank Limited,2021-22,13.55,1,20:00-00:00,Medium,Weekend,High
TXN00112,City Union Bank Limited,2022-23,4.063835815371926,1,20:00-00:00,Small,Weekday,High
TXN00303,City Union Bank Limited,2022-23,24.93,0,12:00-16:00,Medium,Weekday,Low
TXN00276,RBL Bank Limited,2022-23,22.38,0,12:00-16:00,Medium,Weekend,High
TXN00408,DCB Bank Limited,2022-23,14.5,1,00:00-04:00,Medium,Weekday,High
TXN00479,South Indian Bank Limited,2021-22,25.4,1,00:00-04:00,Medium,Weekday,High
TXN00360,Yes Bank Limited,2023-24,3.03,0,16:00-20:00,Small,Weekday,Medium
TXN00053,Karur Vysya Bank Limited,2023-24,17.006047822765645,1,20:00-00:00,Medium,Weekday,High
TXN00229,Nainital Bank Limited,2021-22,3.83,1,20:00-00:00,Small,Weekend,High
TXN00262,City Union Bank Limited,2023-24,37.57733066859157,1,00:00-04:00,Medium,Weekday,High
TXN00176,City Union Bank Limited,2021-22,31.52,0,12:00-16:00,Medium,Weekday,Low
TXN00167,Kotak Mahindra Bank Limited,2021-22,10.57,0,12:00-16:00,Medium,Weekday,High
TXN00427,CSB Bank Limited,2023-24,15.75,0,08:00-12:00,Medium,Weekday,High
TXN00499,Jammu and Kashmir Bank Limited,2021-22,13.43,1,20:00-00:00,Medium,Weekday,High
TXN00118,City Union Bank Limited,2021-22,37.62,1,20:00-00:00,Medium,Weekday,Medium
TXN00113,Axis Bank Limited,2023-24,15.08,0,16:00-20:00,Medium,Weekday,Low
TXN00452,Bandhan Bank Limited,2022-23,27.33,1,04:00-08:00,Medium,Weekday,High
TXN00230,The Dhanalakshmi Bank Limited,2022-23,2.1,0,12:00-16:00,Small,Weekday,High
TXN00256,Nainital Bank Limited,2021-22,17.43,1,04:00-08:00,Medium,Weekday,High
TXN00489,RBL Bank Limited,2021-22,7.53,0,12:00-16:00,Small,Weekday,Medium
TXN00111,ICICI Bank Limited,2022-23,27.81,0,08:00-12:00,Medium,Weekday,Medium
TXN00203,Axis Bank Limited,2023-24,4.1,0,08:00-12:00,Small,Weekday,Medium
TXN00396,DCB Bank Limited,2023-24,16.07,1,20:00-00:00,Medium,Weekday,High
TXN00365,CSB Bank Limited,2023-24,8.38,0,08:00-12:00,Small,Weekend,Medium
TXN00201,Nainital Bank Limited,2021-22,14.608237406973005,1,04:00-08:00,Medium,Weekend,High
TXN00355,Kotak Mahindra Bank Limited,2021-22,18.82,0,16:00-20:00,Medium,Weekday,Low
TXN00163,Axis Bank Limited,2022-23,14.89916017797992,1,20:00-00:00,Medium,Weekday,Medium
TXN00003,Kotak Mahindra Bank Limited,2023-24,4.25383310702589,1,20:00-00:00,Small,Weekend,High
TXN00176,City Union Bank Limited,2021-22,31.52,0,16:00-20:00,Medium,Weekday,Low
TXN00218,ICICI Bank Limited,2023-24,5.856159935417767,1,00:00-04:00,Small,Weekend,Medium
TXN00220,South Indian Bank Limited,2021-22,6.531053355874279,1,20:00-00:00,Small,Weekday,High
TXN00134,HDFC Bank Limited,2023-24,5.48,0,08:00-12:00,Small,Weekday,Low
TXN00138,CSB Bank Limited,2023-24,20.9,1,04:00-08:00,Medium,Weekday,High
TXN00052,City Union Bank Limited,2023-24,107.37414124675942,1,00:00-04:00,Large,Weekday,High
TXN00059,Bandhan Bank Limited,2021-22,94.45,0,16:00-20:00,Large,Weekday,Low
TXN00057,ICICI Bank Limited,2021-22,7.217303584177405,1,00:00-04:00,Small,Weekday,Medium
TXN00404,Kotak Mahindra Bank Limited,2023-24,5.24,0,12:00-16:00,Small,Weekday,Low
TXN00149,The Dhanalakshmi Bank Limited,2023-24,7.32,0,12:00-16:00,Small,Weekday,Low
TXN00353,IDFC First Bank Limited,2021-22,11.94,1,04:00-08:00,Medium,Weekday,High
TXN00040,CSB Bank Limited,2021-22,12.44,0,08:00-12:00,Medium,Weekend,Low
TXN00155,Karnataka Bank Limited,2022-23,7.151706707860623,1,04:00-08:00,Small,Weekend,Medium
TXN00088,Jammu and Kashmir Bank Limited,2021-22,14.38,0,08:00-12:00,Medium,Weekend,Medium
TXN00002,The Dhanalakshmi Bank Limited,2023-24,19.78,0,16:00-20:00,Medium,Weekend,Low
TXN00465,South Indian Bank Limited,2021-22,18.18236076282648,1,04:00-08:00,Medium,Weekday,High
TXN00329,IndusInd Bank Limited,2022-23,15.547078847419561,1,04:00-08:00,Medium,Weekday,High
TXN00114,City Union Bank Limited,2023-24,24.82,0,16:00-20:00,Medium,Weekday,Low
TXN00222,Axis Bank Limited,2023-24,3.6,0,08:00-12:00,Small,Weekday,Low
TXN00091,Tamilnad Mercantile Bank Limited,2023-24,5.13,1,20:00-00:00,Small,Weekday,High
TXN00022,Jammu and Kashmir Bank Limited,2023-24,10.52,0,16:00-20:00,Medium,Weekend,Low
TXN00037,IDBI Bank Limited,2023-24,2.79,1,20:00-00:00,Small,Weekday,High
TXN00087,Axis Bank Limited,2022-23,17.18,0,12:00-16:00,Medium,Weekday,Low
TXN00134,HDFC Bank Limited,2023-24,5.48,0,08:00-12:00,Small,Weekday,Low
TXN00234,Nainital Bank Limited,2022-23,21.47,0,12:00-16:00,Medium,Weekday,Low
TXN00405,RBL Bank Limited,2023-24,7.4,1,20:00-00:00,Small,Weekday,High
TXN00192,CSB Bank Limited,2021-22,20.47,1,00:00-04:00,Medium,Weekday,Medium
TXN00238,IDBI Bank Limited,2023-24,24.48,1,20:00-00:00,Medium,Weekend,High
TXN00033,DCB Bank Limited,2022-23,14.95,0,16:00-20:00,Medium,Weekday,Low
TXN00008,Tamilnad Mercantile Bank Limited,2022-23,11.28,0,16:00-20:00,Medium,Weekday,Low
TXN00135,Karnataka Bank Limited,2023-24,26.77,0,12:00-16:00,Medium,Weekday,High
TXN00391,Karnataka Bank Limited,2023-24,22.61351716380083,1,04:00-08:00,Medium,Weekday,Medium
TXN00330,Nainital Bank Limited,2022-23,20.45,0,12:00-16:00,Medium,Weekday,Low
TXN00164,Tamilnad Mercantile Bank Limited,2023-24,15.92,0,16:00-20:00,Medium,Weekend,Low
TXN00111,ICICI Bank Limited,2022-23,27.81,0,16:00-20:00,Medium,Weekday,Low
TXN00032,City Union Bank Limited,2023-24,19.06425174671362,1,20:00-00:00,Medium,Weekend,High
TXN00498,Tamilnad Mercantile Bank Limited,2022-23,8.64,1,04:00-08:00,Small,Weekday,High
